2026-05-22 03:22:37 | model=google/gemma-4-E2B-it | subset=human | lang=hi | prompt=eng | acc=0.2487 | n=756 | skipped=3
2026-05-22 03:23:05 | model=google/gemma-4-E2B-it | subset=augmented | lang=hi | prompt=eng | acc=0.6424 | n=811 | skipped=1
2026-05-22 03:23:11 | model=google/gemma-4-E2B-it | subset=augmented | lang=hi | prompt=lang | acc=0.6005 | n=811 | skipped=1
2026-05-22 03:23:19 | model=google/gemma-4-E2B-it | subset=human | lang=hi | prompt=lang | acc=0.2143 | n=756 | skipped=3
2026-05-22 12:26:42 | model=Qwen/Qwen3.5-4B | subset=human | lang=hi | prompt=eng | acc=0.4762 | n=756 | skipped=3
2026-05-22 12:33:36 | model=Qwen/Qwen3.5-4B | subset=human | lang=hi | prompt=lang | acc=0.0278 | n=756 | skipped=3
2026-05-22 12:56:59 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=hi | prompt=lang | acc=0.0259 | n=811 | skipped=1
2026-05-22 13:26:39 | model=Qwen/Qwen3.5-9B | subset=human | lang=hi | prompt=lang | acc=0.1085 | n=756 | skipped=3
2026-05-22 13:28:44 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=hi | prompt=eng | acc=0.7867 | n=811 | skipped=1
2026-05-22 13:30:10 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=hi | prompt=lang | acc=0.3798 | n=811 | skipped=1
2026-05-22 14:01:14 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=hi | prompt=eng | acc=0.8656 | n=811 | skipped=1
2026-05-22 14:21:16 | model=Qwen/Qwen3.5-9B | subset=human | lang=hi | prompt=eng | acc=0.6124 | n=756 | skipped=3
2026-05-22 19:11:11 | model=google/gemma-4-E4B-it | subset=human | lang=hi | prompt=eng | acc=0.3743 | n=756 | skipped=3
2026-05-22 19:11:31 | model=google/gemma-4-E4B-it | subset=human | lang=hi | prompt=lang | acc=0.3439 | n=756 | skipped=3
2026-05-22 19:11:58 | model=google/gemma-4-E4B-it | subset=augmented | lang=hi | prompt=eng | acc=0.7090 | n=811 | skipped=1
2026-05-22 19:12:08 | model=google/gemma-4-E4B-it | subset=augmented | lang=hi | prompt=lang | acc=0.6991 | n=811 | skipped=1
2026-05-23 02:23:43 | model=Qwen/Qwen3.5-4B | subset=human | lang=de | prompt=eng | acc=0.6030 | n=723 | skipped=36
2026-05-23 02:24:04 | model=Qwen/Qwen3.5-4B | subset=human | lang=de | prompt=lang | acc=0.6072 | n=723 | skipped=36
2026-05-23 02:59:40 | model=Qwen/Qwen3.5-9B | subset=human | lang=de | prompt=lang | acc=0.7303 | n=723 | skipped=36
2026-05-23 03:05:13 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=de | prompt=lang | acc=0.7679 | n=810 | skipped=2
2026-05-23 03:26:50 | model=Qwen/Qwen3.5-9B | subset=human | lang=de | prompt=eng | acc=0.7068 | n=723 | skipped=36
2026-05-23 03:47:49 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=de | prompt=lang | acc=0.9420 | n=810 | skipped=2
2026-05-23 03:52:51 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=de | prompt=eng | acc=0.8284 | n=810 | skipped=2
2026-05-23 03:57:13 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=de | prompt=eng | acc=0.8741 | n=810 | skipped=2
2026-05-23 06:13:26 | model=google/gemma-4-E2B-it | subset=human | lang=de | prompt=lang | acc=0.3333 | n=723 | skipped=36
2026-05-23 06:13:46 | model=google/gemma-4-E2B-it | subset=human | lang=de | prompt=eng | acc=0.3250 | n=723 | skipped=36
2026-05-23 06:14:30 | model=google/gemma-4-E2B-it | subset=augmented | lang=de | prompt=lang | acc=0.7432 | n=810 | skipped=2
2026-05-23 06:14:37 | model=google/gemma-4-E2B-it | subset=augmented | lang=de | prompt=eng | acc=0.7333 | n=810 | skipped=2
2026-05-23 06:15:41 | model=google/gemma-4-E2B-it | subset=human | lang=ro | prompt=lang | acc=0.3134 | n=737 | skipped=22
2026-05-23 06:16:07 | model=google/gemma-4-E2B-it | subset=human | lang=ro | prompt=eng | acc=0.2497 | n=737 | skipped=22
2026-05-23 06:16:25 | model=google/gemma-4-E2B-it | subset=augmented | lang=ro | prompt=lang | acc=0.7346 | n=810 | skipped=2
2026-05-23 06:16:38 | model=google/gemma-4-E2B-it | subset=augmented | lang=ro | prompt=eng | acc=0.6790 | n=810 | skipped=2
2026-05-23 06:18:25 | model=google/gemma-4-E4B-it | subset=human | lang=de | prompt=lang | acc=0.4011 | n=723 | skipped=36
2026-05-23 06:18:53 | model=google/gemma-4-E4B-it | subset=human | lang=de | prompt=eng | acc=0.4163 | n=723 | skipped=36
2026-05-23 06:20:26 | model=google/gemma-4-E4B-it | subset=augmented | lang=de | prompt=lang | acc=0.7741 | n=810 | skipped=2
2026-05-23 06:20:37 | model=google/gemma-4-E4B-it | subset=human | lang=ro | prompt=lang | acc=0.3731 | n=737 | skipped=22
2026-05-23 06:20:51 | model=google/gemma-4-E4B-it | subset=augmented | lang=de | prompt=eng | acc=0.7802 | n=810 | skipped=2
2026-05-23 06:21:04 | model=google/gemma-4-E4B-it | subset=human | lang=ro | prompt=eng | acc=0.3704 | n=737 | skipped=22
2026-05-23 06:21:56 | model=google/gemma-4-E4B-it | subset=augmented | lang=ro | prompt=lang | acc=0.7728 | n=810 | skipped=2
2026-05-23 06:22:03 | model=google/gemma-4-E4B-it | subset=augmented | lang=ro | prompt=eng | acc=0.7728 | n=810 | skipped=2
2026-05-23 06:36:41 | model=google/gemma-4-E2B-it | subset=human | lang=en | prompt=eng | acc=0.3610 | n=759 | skipped=0
2026-05-23 06:36:57 | model=google/gemma-4-E2B-it | subset=augmented | lang=en | prompt=eng | acc=0.7131 | n=812 | skipped=0
2026-05-23 06:40:56 | model=google/gemma-4-E4B-it | subset=human | lang=en | prompt=eng | acc=0.4638 | n=759 | skipped=0
2026-05-23 06:41:44 | model=google/gemma-4-E4B-it | subset=augmented | lang=en | prompt=eng | acc=0.7919 | n=812 | skipped=0
2026-05-23 14:11:02 | model=Qwen/Qwen3.5-4B | subset=human | lang=ro | prompt=eng | acc=0.5414 | n=737 | skipped=22
2026-05-23 14:25:26 | model=Qwen/Qwen3.5-4B | subset=human | lang=ro | prompt=lang | acc=0.5292 | n=737 | skipped=22
2026-05-23 14:57:02 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=ro | prompt=lang | acc=0.7296 | n=810 | skipped=2
2026-05-23 15:15:49 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=ro | prompt=eng | acc=0.7840 | n=810 | skipped=2
2026-05-23 15:31:56 | model=Qwen/Qwen3.5-9B | subset=human | lang=ro | prompt=eng | acc=0.7069 | n=737 | skipped=22
2026-05-23 15:35:00 | model=Qwen/Qwen3.5-9B | subset=human | lang=ro | prompt=lang | acc=0.7001 | n=737 | skipped=22
2026-05-23 15:39:43 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=ro | prompt=lang | acc=0.9210 | n=810 | skipped=2
2026-05-23 16:05:59 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=ro | prompt=eng | acc=0.9198 | n=810 | skipped=2
2026-05-23 18:28:00 | model=Qwen/Qwen3.5-4B | subset=human | lang=en | prompt=eng | acc=0.7365 | n=759 | skipped=0
2026-05-23 18:36:38 | model=Qwen/Qwen3.5-9B | subset=human | lang=en | prompt=eng | acc=0.7971 | n=759 | skipped=0
2026-05-23 18:53:37 | model=Qwen/Qwen3.5-4B | subset=augmented | lang=en | prompt=eng | acc=0.9729 | n=812 | skipped=0
2026-05-23 19:07:56 | model=Qwen/Qwen3.5-9B | subset=augmented | lang=en | prompt=eng | acc=0.9766 | n=812 | skipped=0
